Larger Text,Smaller Text,Symbol
SECOND EDITION ,NA,NA
Building Android ,NA,NA
"Apps with HTML, ",NA,NA
"CSS, and JavaScript",NA,NA
Jonathan ,NA,NA
Stark ,"with Brian 
 Jepson",NA
Table of Contents,"Preface . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 . . . . . . . . . . .  ix
  
 1. Getting Started . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 . . . . . . . . . . .  1
  
 Web Apps Versus Native Apps 
  
 1
  
 What Is a Web App? 
  
 1
  
 What Is a Native App? 
  
 1
  
 Pros and Cons 
  
 2
  
 Which Approach Is Right for You? 
  
 2
  
 Web Programming Crash Course 
  
 3
  
 Introduction to HTML 
  
 3
  
 Introduction to CSS 
  
 6
  
 Introduction to JavaScript 
  
 9
  
 2. Basic Styling . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 . . . . . . . . .  13
  
 Don’t Have a Website? 
  
 13
  
 First Steps 
  
 15
  
 Prepare a Separate Android Stylesheet 
  
 19
  
 Control the Page Scaling 
  
 20
  
 Adding the Android CSS 
  
 22
  
 Adding the Android Look and Feel 
  
 26
  
 Adding Basic Behavior with jQuery 
  
 28
  
 What You’ve Learned 
  
 33
  
 3. Advanced Styling . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 . . . . . . . . . .  35",NA
Preface,"Thanks to mobile phones, we have moved from virtually no one having access to in-
 formation to virtually everyone having access to the vast resources of the Web. This 
 is arguably the most important achievement of our generation. Despite its 
 overarching importance, mobile computing is in its infancy. Technical, financial, 
 and political forces have created platform fragmentation like never before, and it’s 
 going to get worse before it gets better.
  
 Developers who need to engage large and diverse groups of people are faced with a 
 seemingly impossible challenge: “How do we implement our mobile vision in a way 
 that is feasible, affordable, and reaches the greatest number of participants?” In 
 many cases, the answer is web technologies. The combination of advances in 
 HTML5 and mobile devices has created an environment in which even novice 
 developers can build mobile apps that improve people’s lives on a global scale.
  
 Google’s Android operating system is a compelling addition to the mobile 
 computing space. In true Google fashion, the platform is open, free, and highly 
 interoperable. The development tools are full-featured and powerful, if a bit geeky, 
 and run on a variety of platforms.
  
 Carriers and handset manufacturers have jumped on the Android bandwagon. The 
 market is beginning to flood with Android devices of all shapes and sizes. This is a 
 double-edged sword for developers. On one hand, more devices mean a bigger 
 market. On the other hand, more devices mean more fragmentation. As with the 
 fragmentation in the general mobile market, fragmentation on Android can often be 
 addressed by building apps with HTML, CSS, and JavaScript.
  
 I’m the first to admit that not all apps are a good fit for development with web tech-
 nologies. That said, I see a lot of apps written with native code that could have just 
 as easily been done with HTML. When speaking to developers who aren’t sure 
 which approach to take, I say this:
  
 If you can build your app with HTML, CSS, and JavaScript, you probably should.
  
 ix",NA
Who Should Read This Book,"I’m going to assume you have some basic experience reading and writing HTML, 
 CSS, and JavaScript (jQuery in particular). 
 Chapter 5
  includes some basic SQL code, 
 so a passing familiarity with SQL syntax would be helpful but is not required.",NA
What You Need to Use This Book,"This book avoids the Android SDK wherever possible. All you need to follow along 
 with the vast majority of examples is a text editor and the most recent version of 
 Google Chrome (a cutting-edge web browser that’s available for both Mac and 
 Windows at 
 http://www.google.com/chrome
 ). You do need to have the Android 
 SDK for the Phone-Gap material in 
 Chapter 7
 , where I explain how to convert your 
 web app into a native app that you can submit to the Android Market.",NA
Conventions Used in This Book,"The following typographical conventions are used in this book:
  
 Italic 
  
  
 Indicates new terms, URLs, email addresses, filenames, and file extensions.
  
 Constant width 
  
 Used for program listings, as well as within paragraphs to refer to program 
 elements such as variable or function names, databases, data types, 
 environment variables, statements, and keywords.
  
 Constant width bold 
  
  
 Shows commands or other text that should be typed literally by the 
 user.
  
 Constant width italic 
  
 Shows text that should be replaced with user-supplied values or by values 
 deter-mined by context.
  
  
 This icon signifies a tip, suggestion, or general note.
  
 x | Preface",NA
Using Code Examples,"This book is here to help you get your job done. In general, you may use the code in 
 this book in your programs and documentation. You do not need to contact us for 
 permission unless you’re reproducing a significant portion of the code. For 
 example, writing a program that uses several chunks of code from this book does 
 not require permission. Selling or distributing a CD-ROM of examples from O’Reilly 
 books does require permission. Answering a question by citing this book and 
 quoting example code does not require permission. Incorporating a significant 
 amount of example code from this book into your product’s documentation does 
 require permission.
  
 We appreciate, but do not require, attribution. An attribution usually includes the 
 title, author, publisher, and ISBN. For example: “
 Building Android Apps with HTML, 
 CSS, and JavaScript, 2nd edition
  by Jonathan Stark (O’Reilly). Copyright 2012 
 Jonathan Stark, 978-1-4493-1641-9.”
  
 If you feel your use of code examples falls outside fair use or the permission given 
 above, feel free to contact us at 
 permissions@oreilly.com
 .",NA
Safari® Books Online,"Safari Books Online is an on-demand digital library that lets you easily 
 search over 7,500 technology and creative reference books and videos 
 to
  
 find the answers you need quickly.
  
 With a subscription, you can read any page and watch any video from our library 
 online. Read books on your cell phone and mobile devices. Access new titles before 
 they are available for print, and get exclusive access to manuscripts in development 
 and post feedback for the authors. Copy and paste code samples, organize your 
 favorites, down-load chapters, bookmark key sections, create notes, print out 
 pages, and benefit from tons of other time-saving features.
  
 O’Reilly Media has uploaded this book to the Safari Books Online service. To have 
 full digital access to this book and others on similar topics from O’Reilly and other 
 pub-lishers, sign up for free at 
 http://my.safaribooksonline.com
 .
  
 Preface | xi",NA
How to Contact Us,"Please address comments and questions concerning this book to the publisher:
  
 O’Reilly Media, Inc.
  
 1005 Gravenstein Highway North 
  
 Sebastopol, CA 95472 
  
 800-998-9938 (in the United States or 
 Canada) 707-829-0515 (international or 
 local) 
  
 707-829-0104 (fax)
  
 We have a web page for this book, where we list errata, examples, and any 
 additional information. You can access this page at:
  
 http://shop.oreilly.com/product/0636920022886.do
  
 To comment or ask technical questions about this book, send email to:
  
 bookquestions@oreilly.com
  
 For more information about our books, conferences, Resource Centers, and the 
 O’Reilly Network, see our website at:
  
 http://www.oreilly.com",NA
Acknowledgments,"Writing a book is a team effort. My heartfelt thanks go out to the following people 
 for their generous contributions.
  
 Tim O’Reilly, Brian Jepson, and the rest of the gang at ORM for making the 
 experience of writing this book so rewarding and educational.
  
 David Kaneda for his wonderfully obsessive pursuit of beauty. Whether it’s a bit of 
 code or a user interface animation, he can’t sleep until it’s perfect, and I love that.
  
 The gang at Nitobi for creating and continuing to support PhoneGap.
  
 Brian Fling for broadening my view of mobile beyond just the latest and greatest 
 hard-ware. Brian knows mobile from back in the day; he’s a wonderful writer, and 
 on top of that, a very generous guy.
  
 PPK, John Gruber, John Allsopp, and John Resig for their contributions to and 
 support of the underlying technologies that made this book possible.
  
 Joe Bowser, Brian LeRoux, Sara Czyzewicz, and the swarm of folks who generously 
 posted comments and questions on the OFPS site for this book. Your feedback was 
 very helpful and much appreciated.
  
 My wonderful family, friends, and clients for being understanding and supportive 
 while I was chained to the keyboard.
  
 xii | Preface",NA
CHAPTER 1,NA,NA
Getting Started,"Before we dive in, I’d like to quickly establish the playing field. In this chapter, I’ll 
 define key terms, compare the pros and cons of the two most common 
 development ap-proaches, and give a crash course on the three core web 
 technologies used in this book.",NA
Web Apps Versus Native Apps,"First, I’d like to define what I mean by 
 web app
  and 
 native app
  and consider their 
 pros and cons.",NA
What Is a Web App?,"To me, a web app is basically a website that is specifically optimized for use on a 
 smartphone. The site content can be anything from a standard small business 
 brochure site to a mortgage calculator to a daily calorie tracker—the content is 
 irrelevant. The defining characteristics of a web app are that the user interface (UI) 
 is built with web standard technologies, it is available at a URL (public, private, or 
 perhaps behind a login), and it is optimized for the characteristics of a mobile 
 device. A web app is not installed on the phone, it is not available in the Android 
 Market, and it is not written with Java.",NA
What Is a Native App?,"In contrast, native apps are installed on the Android phone, they have access to the 
 hardware (speakers, accelerometer, camera, etc.), and they are written with Java. 
 The defining characteristic of a native app, however, is that it’s available in the 
 Android Market—a feature that has captured the imagination of a horde of 
 software entrepre-neurs worldwide, myself included.
  
 1",NA
Pros and Cons ,"Different applications have different requirements. Some apps are a better fit with 
 web technologies than others. Knowing the pros and cons of each approach will 
 help you make a better decision about which path is appropriate for your situation.
  
 Here are the pros of native app development:
  
 • Millions of registered credit card owners are one click away• 
 You can access all the cool hardware features of the device
  
 Here are the cons of native app development:
  
 • You have to pay to become an Android developer
  
 • Your app will run only on Android phones
  
 • You have to develop using Java
  
 • The development cycle is slow (develop, compile, deploy, repeat)
  
 Here are the pros of web app development:
  
 • Web developers can use their current authoring tools
  
 • You can use your current web design and development 
 skills• Your app will run on any device that has a web 
 browser• You can fix bugs in real time
  
 • The development cycle is fast
  
 Here are the cons of web app development:
  
 • You cannot access the all cool hardware features of the phone
  
 • You have to roll your own payment system if you want to charge for the app• 
 It can be difficult to achieve sophisticated UI effects",NA
Which Approach Is Right for You?,"Here’s where it gets exciting. The always-online nature of the Android phone 
 creates an environment in which the lines between a web app and a native app get 
 blurry. There are even some little-known features of the Android web browser (see 
 Chapter 6
 ) that allow you to take a web app offline if you want. What’s more, 
 several third-party projects—of which PhoneGap is the most notable—are actively 
 developing solutions that allow web developers to take a web app and package it as 
 a native app for Android and other mobile platforms.
  
 2 | Chapter 1:Getting Started",NA
Web Programming Crash Course,"The three main technologies we will use to build web apps are HTML, CSS, and 
 Java-Script. We’ll quickly cover each to make sure we’re all on the same page before 
 plowing into the fancy stuff.",NA
Introduction to HTML,"When you are browsing the web, the pages you are viewing are just text documents 
 sitting on someone else’s computer. The text in a typical web page is wrapped in 
 HTML tags, which tell your browser about the structure of the document. With this 
 informa-tion, the browser can decide how to display the information in a way that 
 makes sense.
  
 Consider the web page snippet shown in 
 Example 1-1
 . On the first line, the string 
 Hi 
 there!
  is wrapped in a pair of 
 h1
  tags. Notice that the 
 open tag
  and the 
 close tag
  are 
 slightly different: the close tag has a slash (/) as the second character, while the 
 open tag does not have a slash.
  
 Wrapping text in 
 h1
  tags tells the browser that the words enclosed are a heading, 
 which will cause it to be displayed in large bold text on its own line. There are also 
 h2
 , 
 h3
 , 
 h4
 , 
 h5
 , and 
 h6
  heading tags. The lower the number, the more important the 
 header, so text wrapped in an 
 h6
  tag will be smaller (i.e., less important-looking) 
 than text wrapped in an 
 h3
  tag.
  
 After the 
 h1
  tag in 
 Example 1-1
 , there are two lines wrapped in 
 p
  tags. These are 
 called paragraph tags. Browsers will display each paragraph on its own line. If the 
 paragraph is long enough to exceed the width of the browser window, the text will 
 bump down and continue on the next line. In either case, a blank line will be 
 inserted after the paragraph to separate it from the next item on the page.
  
 Example 1-1. HTML snippet
  
 <h1>Hi there!</h1> 
  
 <p>Thanks for visiting my web page.</p> 
  
 <p>I hope you like it.</p>
  
 You can also put HTML tags inside other HTML tags. 
 Example 1-2
  shows an 
 unordered list (
 ul
 ) tag that contains three list items (
 li
 ). In a browser, this appears 
 as a bulleted list with each item on its own line. When you have a tag or tags inside 
 another tag, the",NA
Picking the Right Text Editor,"Some text editors are not suited for authoring HTML. In particular, you want to 
 avoid editors that support rich text editing, like Microsoft WordPad (Windows) or 
 TextEdit (Mac OS X). These types of editors can save their files in formats other 
 than plain text, which will break your HTML. If you must use TextEdit, save in 
 plain text by choosing Format
 →
 Make Plain Text. In Windows, use Notepad instead 
 of WordPad.
  
 If you are in the market for a good text editor, my recommendation on the Mac is 
 TextMate
 . For Windows, both the 
 E Text Editor
  and 
 Sublime Text
  are great.
  
 If free is your thing, you can download 
 Text Wrangler
  for Mac. For Windows, 
 Note-
 pad2
  and 
 Notepad++
  are highly regarded. Linux comes with an assortment of text 
 editors, such as vi, nano, emacs, and gedit.
  
 When you are finished entering the code from 
 Example 1-3
 , save it to your desktop 
 as 
 test.html
  and then open it with Chrome by either dragging the file onto the 
 Chrome application icon or opening Chrome and selecting File
 →
 Open File. Double-
 clicking 
 test.html
  will work as well, but it could open in your text editor or another 
 browser, depending on your settings.
  
 Web Programming Crash Course | 5",NA
Introduction to CSS,"As you’ve seen, browsers render certain HTML elements with distinct styles (for 
 ex-ample, headings are large and bold, paragraphs are followed by a blank line, and 
 so forth). These styles are very basic and are primarily intended to help the reader 
 under-stand the structure and meaning of the document.
  
 To go beyond this simple structure-based rendering, you use Cascading Style 
 Sheets (CSS). CSS is a stylesheet language that you use to define the visual 
 presentation of an HTML document. You can use CSS to define simple things like 
 the text color, size, and style (bold, italic, etc.), or complex things like page layout, 
 gradients, opacity, and much more.
  
 Example 1-4
  shows a CSS rule that instructs the browser to display any text in the 
 body element using the color red. In this example, 
 body
  is the 
 selector
  (this specifies 
 what is affected by the rule) and the curly braces enclose the 
 declaration
  (the rule 
 itself). The declaration includes a set of 
 properties
  and their 
 values
 . In this example, 
 color
  is the property, and 
 red
  is the value of the 
 color
  property.
  
 Example 1-4. A simple CSS rule
  
 body { color: red; }
  
 Property names are predefined in the CSS specification, which means that you can’t 
 just make them up. Each property expects an appropriate value, and there can be 
 lots of appropriate values and value formats for a given property.
  
 For example, you can specify colors with predefined keywords like 
 red
 , or by using 
 HTML color code notation, which uses a hexadecimal notation: a hash/pound sign 
 (
 #
 ) followed by three pairs of hexadecimal digits (
 0
 –
 F
 ) representing (from left to 
 right) red, green, and blue values (red is represented as 
 #FF0000
 ). Properties that 
 expect meas-urements can accept values like 
 10px
 , 
 75%
 , and 
 1em
 . 
 Example 1-5
  
 shows some common declarations. The color code shown for 
 background-color
  
 corresponds to the CSS“gray.”
  
 Example 1-5. Some common CSS declarations
  
 body {
  
  color: red;
  
  background-color: #808080;
  
  font-size: 12px;
  
  font-style: italic;
  
 6 | Chapter 1:Getting Started",NA
Introduction to JavaScript,"At this point you know how to structure a document with HTML and how to modify 
 its visual presentation with CSS. Now I’ll show you how JavaScript can make the 
 web do stuff.
  
 JavaScript is a scripting language that you can add to an HTML page to make it 
 more interactive and convenient for the user. For example, you can write some 
 JavaScript that will inspect the values typed in a form to make sure they are valid. 
 Or, you can have JavaScript show or hide elements of a page depending on where 
 the user clicks. JavaScript can even contact the web server to execute database 
 changes without re-freshing the current web page.
  
 Like any modern scripting language, JavaScript has variables, arrays, objects, and 
 all the typical control structures (e.g., 
 if
 , 
 while
 , 
 for
 ). 
 Example 1-8
  shows a snippet of 
 JavaScript that illustrates many core concepts of the language (don’t try putting this 
 in your HTML file yet; I’ll show you how to combine HTML and JavaScript in a 
 moment).
  
 Example 1-8. Basic JavaScript syntax
  
 var foods = ['Apples', 'Bananas', 'Oranges']; 
  
 for (var i=0; i<foods.length; i++) { 
  
  if (foods[i] == 'Apples') { 
  
  alert(foods[i] + ' are my favorite!'); 
  
  } else {
  
  
  alert(foods[i] + ' are okay.'); 
  
  } 
  
 }
  
 Here’s an explanation of what’s happening here:
  
 Define an 
 array
  (a list of values) named 
 foods
  that contains three elements.
  
 Open a typical 
 for
  loop that initializes a variable named 
 i
  to 0 and specifies an exit 
 criteria—in this case, exit when 
 i
  is greater than the length of the 
 foods
  array, and 
 increment 
 i
  by 1 each time through the loop (
 i++
  is shorthand for “add 1 to the 
 current value of 
 i
 ”).
  
 Web Programming Crash Course | 9",NA
CHAPTER 2,NA,NA
