Larger Text,Smaller Text,Symbol
Preface,"This book is intended for anyone who wants to become a better Lisp 
 programmer. It assumes some familiarity with Lisp, but not necessarily 
 extensive programming experience. The first few chapters contain a fair amount 
 of review. I hope that these sections will be interesting to more experienced 
 Lisp programmers as well, because they present familiar subjects in a new light.
  
  
 It’s difficult to convey the essence of a programminglanguage in one 
 sentence, but John Foderaro has come close:
  
 Lisp is a programmable programming language.
  
 There is more to Lisp than this, but the ability to bend Lisp to one’s will is a 
 large part of what distinguishes a Lisp expert from a novice. As well as writing 
 their programs down toward the language, experienced Lisp programmers build 
 the language up toward their programs. This book teaches how to program in 
 the bottom-up style for which Lisp is inherently well-suited.
  
 Bottom-up Design
  
 Bottom-up design is becoming more important as software grows in 
 complexity. Programs today may have to meet specifications which are 
 extremely complex, or even open-ended. Under such circumstances, the 
 traditional top-down method sometimes breaks down. In its place there has 
 evolved a style of programming
  
 v",NA
Contents,"1. The Extensible Language
  
 1
  
 4.4.
  
 Search
  
 48
  
 76
  
 1.1.
  
 Design by Evolution
  
 1
  
 4.5.
  
 Mapping
  
 53
  
 4.6.
  
 I/O
  
 56
  
 1.2.
  
 Programming Bottom-Up
  
 3
  
 4.7.
  
 Symbols and 
 Strings
  
 57
  
 1.3.
  
 Extensible Software
  
 5
  
 4.8.
  
 Density
  
 59
  
 1.4.
  
 Extending Lisp
  
 6
  
 1.5.
  
 Why Lisp (or 
 When)
  
 8
  
 5. Returning Functions
  
 61
  
 2. Functions
  
 9
  
 5.1.
  
 Common Lisp Evolves
  
 61
  
 2.1.
  
 Functions as Data
  
 9
  
 5.2.
  
 Orthogonality
  
 63
  
 5.3.
  
 Memoizing
  
 65
  
 2.2.
  
 Defining Functions
  
 10
  
 5.4.
  
 Composing Functions
  
 66
  
 2.3.
  
 Functional Arguments
  
 13
  
 5.5.
  
 Recursion on Cdrs
  
 68
  
 2.4.
  
 Functions as Properties
  
 15
  
 5.6.
  
 Recursion on Subtrees
  
 70
  
 2.5.
  
 Scope
  
 16
  
 5.7.
  
 When to Build Functions
  
 75
  
 2.6.
  
 Closure
 s
  
 17
  
 2.7.
  
 Local Functions
  
 21
  
 6. Functions as Representation
  
 2.8.
  
 Tail-Recursion
  
 22
  
 2.9.
  
 Compilation
  
 24
  
 6.1.
  
 Networks
  
 76
  
 2.10.
  
 Functions from 
 Lists
  
 27
  
 6.2.
  
 Compiling 
 Networks
  
 79
  
 3. Functional 
 Programming
  
 28
  
 6.3.
  
 Looking Forward
  
 81
  
 3.1.
  
 Functional Design
  
 28
  
 7. Macros
  
 82
  
 3.2.
  
 Imperative Outside-In
  
 33
  
 7.1.
  
 How Macros Work
  
 82
  
 3.3.
  
 Functional Interfaces
  
 35
  
 7.2.
  
 Backquote
  
 84
  
 3.4.
  
 Interactive Programming
  
 37
  
 7.3.
  
 Defining Simple 
 Macros
  
 88
  
 4. Utility Functions
  
 40
  
 7.4.
  
 Testing 
 Macroexpansion
  
 91
  
 7.5.
  
 Destructuring in Parameter
  
 4.1.
  
 Birth of a Utility
  
 40
  
 Lists
  
 93
  
 4.2.
  
 Invest in 
 Abstraction
  
 43
  
 7.6.
  
 A Model of Macros
  
 95
  
 4.3.
  
 Operations on Lists
  
 44
  
 7.7.
  
 Macros as Programs
  
 96
  
 xi",NA
1,NA,NA
The Extensible Language,"Not long ago, if you asked what Lisp was for, many people would have 
 answered“for artificial intelligence.” In fact, the association between Lisp and
  
 AI
  is just an accident of history. Lisp was invented by John McCarthy, who also 
 invented the term “artificial intelligence.” His students and colleagues wrote 
 their programs in Lisp, and so it began to be spoken of as an
  AI
  language. This 
 line was taken up and repeated so often during the brief
  AI
  boom in the 1980s 
 that it became almost an institution.
  
 Fortunately, word has begun to spread that
  AI
  is not what Lisp is all about. 
 Recent advances in hardware and software have made Lisp commercially 
 viable: it is now used in Gnu Emacs, the best Unix text-editor; Autocad, the 
 industry stan-dard desktop
  CAD
  program; and Interleaf, a leading high-end 
 publishing program.
  
 The way Lisp is used in these programs has nothing whatever to do with
  AI
 .
  
 If Lisp is not the language of
  AI
 , what is it? Instead of judging Lisp by the 
 company it keeps, let’s look at the language itself. What can you do in Lisp that 
 you can’t do in other languages? One of the most distinctive qualities of Lisp is 
 the way it can be tailored to suit the program being written in it. Lisp itself is a 
 Lisp program, and Lisp programs can be expressed as lists, which are Lisp data 
 structures. Together, these two principles mean that any user can add operators 
 to Lisp which are indistinguishable from the ones that come built-in.
  
 1.1 
  
 Design by Evolution
  
 Because Lisp gives you the freedom to define your own operators, you can 
 mold it into just the language you need. If you’re writing a text-editor, you can 
 turn
  
 1",NA
2,NA,NA
Functions,"Functions are the building-blocks of Lisp programs. They are also the building-
 blocks of Lisp. In most languages the
  +
  operator is something quite different 
 from user-defined functions. But Lisp has a single model, function application, 
 to describe all the computation done by a program. The Lisp
  +
  operator is a 
 function, just like the ones you can define yourself.
  
 In fact, except for a small number of operators called
  special forms
 , the core 
 of Lisp is a collection of Lisp functions. What’s to stop you from adding to this 
 collection? Nothing at all: if you think of something you wish Lisp could do, 
 you can write it yourself, and your new function will be treated just like the 
 built-in ones.
  
 This fact has important consequences for the programmer. It means that any 
 new function could be considered either as an addition to Lisp, or as part of a 
 specific application. Typically, an experienced Lisp programmer will write 
 some of each, adjusting the boundary between language and application until 
 the two fit one another perfectly. This book is about how to achieve a good fit 
 between language and application. Since everything we do toward this end 
 ultimately depends on functions, functions are the natural place to begin.
  
 2.1 
  
 Functions as Data
  
 Two things make Lisp functions different. One, mentioned above, is that Lisp 
 itself is a collection of functions. This means that we can add to Lisp new 
 operators of our own. Another important thing to know about functions is that 
 they are Lisp objects.
  
 9",NA
3,NA,NA
Functional Programming,"The previous chapter explained how Lisp and Lisp programs are both built out 
 of a single raw material: the function. Like any building material, its qualities 
 influence both the kinds of things we build, and the way we build them.
  
 This chapter describes the kind of construction methods which prevail in the 
 Lisp world. The sophistication of these methods allows us to attempt more 
 ambitious kinds of programs. The next chapter will describe one particularly 
 important class of programs which become possible in Lisp: programs which 
 evolve instead of being developed by the old plan-and-implement method.
  
 3.1 
  
 Functional Design
  
 The character of an object is influenced by the elements from which it is made. 
 A wooden building looks different from a stone one, for example. Even when 
 you are too far away to see wood or stone, you can tell from the overall shape 
 of the building what it’s made of. The character of Lisp functions has a similar 
 influence on the structure of Lisp programs.
  
  
 Functional programming
  means writing programs which work by returning 
 values instead of by performing side-effects. 
  
 Side-effects include destructive 
 changes to objects (e.g. by
  rplaca
 ) and assignments to variables (e.g. by
  setq
 ). 
 If side-effects are few and localized, programs become easier to read, test, and 
 debug. Lisp programs have not always been written in this style, but over time 
 Lisp and functional programming have gradually become inseparable.
  
 An example will show how functional programming differs from what you 
 might do in another language. Suppose for some reason we want the elements of
  
 28",NA
4,NA,NA
Utility Functions,"Common Lisp operators come in three types: functions and macros, which you 
 can write yourself, and special forms, which you can’t. This chapter describes 
 techniques for extending Lisp with new functions. But “techniques” here means 
 something different from what it usually does. The important thing to know 
 about such functions is not how they’re written, but where they come from. An 
 extension to Lisp will be written using mostly the same techniques you would 
 use to write any other Lisp function. The hard part of writing these extensions is 
 not deciding how to write them, but deciding which ones to write.
  
 4.1 
  
 Birth of a Utility
  
 In its simplest form, bottom-up programming means second-guessing whoever 
 designed your Lisp. At the same time as you write your program, you also add 
 to Lisp new operators which make your program easy to write. These new 
 operators are called
  utilities.
  
 The term “utility” has no precise definition. A piece of code can be called a 
 utility if it seems too small to be considered as a separate application, and too 
 general-purpose to be considered as part of a particular program. A database 
 program would not be a utility, for example, but a function which performed a 
 single operation on a list couldbe. Most utilities resemble the functions 
 andmacros that Lisp has already. In fact, many of Common Lisp’s built-in 
 operators began life as utilities. The function
  remove-if-not
 , which collects all 
 the elements of a list satisfying some predicate, was defined by individual 
 programmers for years before it became a part of Common Lisp.
  
 40",NA
