Larger Text,Smaller Text,Symbol
Preface ,NA,NA
Dedication,NA,NA
Chapter 1—Introduction to Neural Networks ,NA,NA
Neural Processing ,NA,NA
Neural Network ,NA,NA
Output of a Neuron ,NA,NA
Cash Register Game ,NA,NA
Weights ,NA,NA
Training ,NA,NA
Feedback ,NA,NA
Supervised or Unsupervised Learning ,NA,NA
Noise ,NA,NA
Memory ,NA,NA
Capsule of History ,NA,NA
Neural Network Construction ,NA,NA
Sample Applications ,NA,NA
Qualifying for a Mortgage ,NA,NA
Cooperation and Competition ,NA,NA
Example—A Feed-Forward Network ,NA,NA
Example—A Hopfield Network ,NA,NA
Hamming Distance ,NA,NA
Asynchronous Update ,NA,NA
Binary and Bipolar Inputs ,NA,NA
Bias ,NA,NA
Another Example for the Hopfield Network ,NA,NA
Summary,NA,NA
Chapter 2—C++ and Object Orientation ,NA,NA
Introduction to C++ ,NA,NA
Encapsulation,file:///H:/edonkey/docs/c/(ebook-pdf)%20-%20mathe...ic/C++_Neural_Networks_and_Fuzzy_Logic/ewtoc.html (1 of 13) [21/11/02 21:56:36],NA
Data Hiding ,NA,NA
Constructors and Destructors as Special Functions of C++ ,NA,NA
Dynamic Memory Allocation ,NA,NA
Overloading ,NA,NA
Polymorphism and Polymorphic Functions ,NA,NA
Overloading Operators ,NA,NA
Inheritance ,NA,NA
Derived Classes ,NA,NA
Reuse of Code ,NA,NA
C++ Compilers ,NA,NA
Writing C++ Programs ,NA,NA
Summary,NA,NA
Chapter 3—A Look at Fuzzy Logic ,NA,NA
Crisp or Fuzzy Logic?,NA,NA
Fuzzy Sets ,NA,NA
Fuzzy Set Operations ,NA,NA
Union of Fuzzy Sets ,NA,NA
Intersection and Complement of Two Fuzzy Sets ,NA,NA
Applications of Fuzzy Logic ,NA,NA
Examples of Fuzzy Logic ,NA,NA
Commercial Applications ,NA,NA
Fuzziness in Neural Networks ,NA,NA
Code for the Fuzzifier ,NA,NA
Fuzzy Control Systems ,NA,NA
Fuzziness in Neural Networks ,NA,NA
Neural-Trained Fuzzy Systems ,NA,NA
Summary,NA,NA
Chapter 4—Constructing a Neural Network ,NA,NA
First Example for C++ Implementation ,NA,NA
Classes in C++ Implementation ,NA,NA
C++ Program for a Hopfield Network ,NA,NA
Header File for C++ Program for Hopfield Network ,NA,NA
Notes on the Header File Hop.h ,NA,NA
Source Code for the Hopfield Network,file:///H:/edonkey/docs/c/(ebook-pdf)%20-%20mathe...ic/C++_Neural_Networks_and_Fuzzy_Logic/ewtoc.html (2 of 13) [21/11/02 21:56:36],NA
Comments on the C++ Program for Hopfield Network ,NA,NA
Output from the C++ Program for Hopfield Network ,NA,NA
Further Comments on the Program and Its Output A ,NA,NA
New Weight Matrix to Recall More Patterns ,NA,NA
Weight Determination ,NA,NA
Binary to Bipolar Mapping ,NA,NA
Pattern’s Contribution to Weight ,NA,NA
Autoassociative Network ,NA,NA
Orthogonal Bit Patterns ,NA,NA
Network Nodes and Input Patterns ,NA,NA
Second Example for C++ Implementation ,NA,NA
C++ Implementation of Perceptron Network ,NA,NA
Header File ,NA,NA
Implementation of Functions ,NA,NA
Source Code for Perceptron Network ,NA,NA
Comments on Your C++ Program ,NA,NA
Input/Output for percept.cpp ,NA,NA
Network Modeling ,NA,NA
Tic-Tac-Toe Anyone?,NA,NA
Stability and Plasticity ,NA,NA
Stability for a Neural Network ,NA,NA
Plasticity for a Neural Network ,NA,NA
Short-Term Memory and Long-Term Memory ,NA,NA
Summary,NA,NA
Chapter 5—A Survey of Neural Network Models ,NA,NA
Neural Network Models ,NA,NA
Layers in a Neural Network ,NA,NA
Single-Layer Network ,NA,NA
XOR Function and the Perceptron ,NA,NA
Linear Separability ,NA,NA
A Second Look at the XOR Function: Multilayer Perceptron ,NA,NA
Example of the Cube Revisited ,NA,NA
Strategy ,NA,NA
Details ,NA,NA
Performance of the Perceptron,file:///H:/edonkey/docs/c/(ebook-pdf)%20-%20mathe...ic/C++_Neural_Networks_and_Fuzzy_Logic/ewtoc.html (3 of 13) [21/11/02 21:56:36],NA
Other Two-layer Networks ,NA,NA
Many Layer Networks ,NA,NA
Connections Between Layers ,NA,NA
Instar and Outstar ,NA,NA
Weights on Connections ,NA,NA
Initialization of Weights ,NA,NA
A Small Example ,NA,NA
Initializing Weights for Autoassociative Networks ,NA,NA
Weight Initialization for Heteroassociative Networks ,NA,NA
"On Center, Off Surround ",NA,NA
Inputs ,NA,NA
Outputs ,NA,NA
The Threshold Function ,NA,NA
The Sigmoid Function ,NA,NA
The Step Function ,NA,NA
The Ramp Function ,NA,NA
Linear Function ,NA,NA
Applications ,NA,NA
Some Neural Network Models ,NA,NA
Adaline and Madaline ,NA,NA
Backpropagation ,NA,NA
Figure for Backpropagation Network ,NA,NA
Bidirectional Associative Memory ,NA,NA
Temporal Associative Memory ,NA,NA
Brain-State-in-a-Box ,NA,NA
Counterpropagation ,NA,NA
Neocognitron ,NA,NA
Adaptive Resonance Theory ,NA,NA
Summary,NA,NA
Chapter 6—Learning and Training ,NA,NA
Objective of Learning ,NA,NA
Learning and Training ,NA,NA
Hebb’s Rule ,NA,NA
Delta Rule ,NA,NA
Supervised Learning,file:///H:/edonkey/docs/c/(ebook-pdf)%20-%20mathe...ic/C++_Neural_Networks_and_Fuzzy_Logic/ewtoc.html (4 of 13) [21/11/02 21:56:36],NA
Generalized Delta Rule ,NA,NA
Statistical Training and Simulated Annealing ,NA,NA
Radial Basis-Function Networks ,NA,NA
Unsupervised Networks ,NA,NA
Self-Organization ,NA,NA
Learning Vector Quantizer ,NA,NA
Associative Memory Models and One-Shot Learning ,NA,NA
Learning and Resonance ,NA,NA
Learning and Stability ,NA,NA
Training and Convergence ,NA,NA
Lyapunov Function ,NA,NA
Other Training Issues ,NA,NA
Adaptation ,NA,NA
Generalization Ability ,NA,NA
Summary,NA,NA
Chapter 7—Backpropagation ,NA,NA
Feedforward Backpropagation Network ,NA,NA
Mapping ,NA,NA
Layout ,NA,NA
Training ,NA,NA
Illustration: Adjustment of Weights of Connections from a Neuron in ,NA,NA
the Hidden Layer ,NA,NA
Illustration: Adjustment of Weights of Connections from a Neuron in ,NA,NA
the Input Layer ,NA,NA
Adjustments to Threshold Values or Biases ,NA,NA
Another Example of Backpropagation Calculations ,NA,NA
Notation and Equations ,NA,NA
Notation ,NA,NA
Equations ,NA,NA
C++ Implementation of a Backpropagation Simulator ,NA,NA
A Brief Tour of How to Use the Simulator ,NA,NA
C++ Classes and Class Hierarchy ,NA,NA
Summary,NA,NA
Chapter 8—BAM: Bidirectional Associative Memory,file:///H:/edonkey/docs/c/(ebook-pdf)%20-%20mathe...ic/C++_Neural_Networks_and_Fuzzy_Logic/ewtoc.html (5 of 13) [21/11/02 21:56:36],NA
Introduction ,NA,NA
Inputs and Outputs ,NA,NA
Weights and Training ,NA,NA
Example ,NA,NA
Recall of Vectors ,NA,NA
Continuation of Example ,NA,NA
Special Case—Complements ,NA,NA
C++ Implementation ,NA,NA
Program Details and Flow ,NA,NA
Program Example for BAM ,NA,NA
Header File ,NA,NA
Source File ,NA,NA
Program Output ,NA,NA
Additional Issues ,NA,NA
Unipolar Binary Bidirectional Associative Memory ,NA,NA
Summary,NA,NA
Chapter 9—FAM: Fuzzy Associative Memory ,NA,NA
