Larger Text,Smaller Text,Symbol
LearningPHP7,NA,NA
TableofContents,NA,NA
LearningPHP7 ,NA,NA
Credits ,NA,NA
AbouttheAuthor ,NA,NA
AbouttheReviewer ,NA,NA
www.PacktPub.com ,NA,NA
"eBooks,discountoffers,andmore ",NA,NA
Whysubscribe?,NA,NA
Preface ,NA,NA
Whatthisbookcovers ,NA,NA
Whatyouneedforthisbook ,NA,NA
Whothisbookisfor ,NA,NA
Conventions ,NA,NA
Readerfeedback ,NA,NA
Customersupport ,NA,NA
Downloadingtheexamplecode ,NA,NA
Errata ,NA,NA
Piracy ,NA,NA
Questions ,NA,NA
1.SettingUptheEnvironment ,NA,NA
SettinguptheenvironmentwithVagrant ,NA,NA
IntroducingVagrant ,NA,NA
InstallingVagrant ,NA,NA
UsingVagrant ,NA,NA
SettinguptheenvironmentonOSX ,NA,NA
InstallingPHP ,NA,NA
InstallingMySQL ,NA,NA
InstallingNginx ,NA,NA
InstallingComposer ,NA,NA
SettinguptheenvironmentonWindows,NA,NA
InstallingPHP ,NA,NA
InstallingMySQL ,NA,NA
InstallingNginx ,NA,NA
InstallingComposer ,NA,NA
SettinguptheenvironmentonUbuntu ,NA,NA
InstallingPHP ,NA,NA
InstallingMySQL ,NA,NA
InstallingNginx ,NA,NA
Summary ,NA,NA
2.WebApplicationswithPHP ,NA,NA
TheHTTPprotocol ,NA,NA
Asimpleexample ,NA,NA
Partsofthemessage ,NA,NA
URL ,NA,NA
TheHTTPmethod ,NA,NA
Body ,NA,NA
Headers ,NA,NA
Thestatuscode ,NA,NA
Amorecomplexexample ,NA,NA
Webapplications ,NA,NA
"HTML,CSS,andJavaScript ",NA,NA
Webservers ,NA,NA
Howtheywork ,NA,NA
ThePHPbuilt-inserver ,NA,NA
Puttingthingstogether ,NA,NA
Summary ,NA,NA
3.UnderstandingPHPBasics ,NA,NA
PHPfiles ,NA,NA
Variables ,NA,NA
Datatypes ,NA,NA
Operators,NA,NA
Arithmeticoperators ,NA,NA
Assignmentoperators ,NA,NA
Comparisonoperators ,NA,NA
Logicaloperators ,NA,NA
Incrementinganddecrementingoperators ,NA,NA
Operatorprecedence ,NA,NA
Workingwithstrings ,NA,NA
Arrays ,NA,NA
Initializingarrays ,NA,NA
Populatingarrays ,NA,NA
Accessingarrays ,NA,NA
Theemptyandissetfunctions ,NA,NA
Searchingforelementsinanarray ,NA,NA
Orderingarrays ,NA,NA
Otherarrayfunctions ,NA,NA
PHPinwebapplications ,NA,NA
Gettinginformationfromtheuser ,NA,NA
HTMLforms ,NA,NA
Persistingdatawithcookies ,NA,NA
Othersuperglobals ,NA,NA
Controlstructures ,NA,NA
Conditionals ,NA,NA
Switch…case ,NA,NA
Loops ,NA,NA
While ,NA,NA
Do…while ,NA,NA
For ,NA,NA
Foreach ,NA,NA
Functions ,NA,NA
Functiondeclaration ,NA,NA
Functionarguments,NA,NA
Thereturnstatement ,NA,NA
Typehintingandreturntypes ,NA,NA
Thefilesystem ,NA,NA
Readingfiles ,NA,NA
Writingfiles ,NA,NA
Otherfilesystemfunctions ,NA,NA
Summary ,NA,NA
4.CreatingCleanCodewithOOP ,NA,NA
Classesandobjects ,NA,NA
Classproperties ,NA,NA
Classmethods ,NA,NA
Classconstructors ,NA,NA
Magicmethods ,NA,NA
Propertiesandmethodsvisibility ,NA,NA
Encapsulation ,NA,NA
Staticpropertiesandmethods ,NA,NA
Namespaces ,NA,NA
Autoloadingclasses ,NA,NA
Usingthe__autoloadfunction ,NA,NA
Usingthespl_autoload_registerfunction ,NA,NA
Inheritance ,NA,NA
Introducinginheritance ,NA,NA
Overridingmethods ,NA,NA
Abstractclasses ,NA,NA
Interfaces ,NA,NA
Polymorphism ,NA,NA
Traits ,NA,NA
Handlingexceptions ,NA,NA
Thetry…catchblock ,NA,NA
Thefinallyblock ,NA,NA
Catchingdifferenttypesofexceptions,NA,NA
Designpatterns ,NA,NA
Factory ,NA,NA
Singleton ,NA,NA
Anonymousfunctions ,NA,NA
Summary ,NA,NA
5.UsingDatabases ,NA,NA
Introducingdatabases ,NA,NA
MySQL ,NA,NA
Schemasandtables ,NA,NA
Understandingschemas ,NA,NA
Databasedatatypes ,NA,NA
Numericdatatypes ,NA,NA
Stringdatatypes ,NA,NA
Listofvalues ,NA,NA
Dateandtimedatatypes ,NA,NA
Managingtables ,NA,NA
Keysandconstraints ,NA,NA
Primarykeys ,NA,NA
