Larger Text,Smaller Text,Symbol
Table of Contents,NA,NA
C# Programming Cookbook ,NA,NA
Credits ,NA,NA
About the Author ,NA,NA
Acknowledgements ,NA,NA
About the Reviewer ,NA,NA
www.PacktPub.com ,NA,NA
"eBooks, discount offers, and more ",NA,NA
Why Subscribe?,NA,NA
Preface ,NA,NA
What this book covers ,NA,NA
What you need for this book ,NA,NA
Who this book is for ,NA,NA
Sections ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
There's more…,NA,NA
See also ,NA,NA
Conventions ,NA,NA
Reader feedback ,NA,NA
Customer support ,NA,NA
Downloading the example code ,NA,NA
Downloading the color images of this book ,NA,NA
Errata ,NA,NA
Piracy ,NA,NA
Questions ,NA,NA
1. New Features in C# 6.0 ,NA,NA
Introduction ,NA,NA
Creating your Visual Studio project ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
String interpolation ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Null-conditional operator ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Initializers for auto-implemented properties and getter-only auto ,NA,NA
properties ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Index initializers ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
The nameof expressions ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Expression-bodied functions and properties ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Using static ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Exception filters ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Using await operator in catch and finally blocks ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
2. Classes and Generics ,NA,NA
Introduction ,NA,NA
Creating and implementing an abstract class ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Creating and implementing an interface ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Creating and using a generic class or method ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Creating and using a generic interface ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
3. Object-Oriented Programming in C# ,NA,NA
Introduction ,NA,NA
Using inheritance in C# ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Using abstraction ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Leveraging encapsulation ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Implementing polymorphism ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Single responsibility principle ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
Open/closed principle ,NA,NA
Getting ready ,NA,NA
How to do it…,NA,NA
How it works…,NA,NA
